,loss,mse,s_mape,precision,recall,gan_loss,prop,val_loss,val_mse,val_s_mape,val_precision,val_recall,val_gan_loss,val_prop
48,0.00681594852358103,0.00704667204990983,0.647952318191528,0.566932797431946,0.935872256755829,0.498222529888153,0.428031086921692,0.00636975793167949,0.00754016125574708,0.596131443977356,0.595681011676788,0.91391396522522,0.498175084590912,0.563081860542297
49,0.00680734915658832,0.00703086191788316,0.646797657012939,0.567243993282318,0.93584281206131,0.49821537733078,0.426535278558731,0.00644113169983029,0.00762205896899104,0.566128849983215,0.598959803581238,0.907518625259399,0.498255014419556,0.562730848789215
50,0.00573554774746299,0.00735323736444116,0.4903644323349,0.688722729682922,0.81745183467865,0.10626083612442,0.573231518268585,0.00526693183928728,0.00785161461681128,0.556356728076935,0.670304656028748,0.820196211338043,0.0237876251339912,0.708962321281433
51,0.0054760673083365,0.00726415915414691,0.52186793088913,0.660556018352509,0.831515550613403,0.0163328945636749,0.588280498981476,0.00518016563728452,0.00773329008370638,0.546129822731018,0.660482227802277,0.823307633399963,0.00874088518321514,0.709668219089508
52,0.00542855588719249,0.00717974919825792,0.526598155498505,0.66138106584549,0.841008305549622,0.0138614596799016,0.586700677871704,0.005209487862885,0.00771717168390751,0.56502503156662,0.660891115665436,0.840955436229706,0.0167699046432972,0.704558730125427
53,0.00540364999324083,0.00713590253144503,0.534949243068695,0.656309425830841,0.847657382488251,0.0121678914874792,0.586590349674225,0.00522547820582986,0.00780069502070546,0.589633524417877,0.645872592926025,0.842703342437744,0.0125463679432869,0.709914207458496
54,0.00537961861118674,0.0070971236564219,0.532996654510498,0.658232867717743,0.849666059017181,0.0102508338168263,0.586549758911133,0.0051980409771204,0.00771237863227725,0.567818462848663,0.666717946529388,0.841076850891113,0.0171452462673187,0.706128478050232
55,0.00536447344347835,0.00707123382017016,0.540265679359436,0.654988646507263,0.854714810848236,0.00922555848956108,0.58663147687912,0.00533796893432736,0.00805780291557312,0.522514462471008,0.679136037826538,0.808252573013306,0.00942208338528872,0.716167688369751
56,0.0053449789993465,0.00703119393438101,0.54172283411026,0.652911126613617,0.857714653015137,0.00884979218244553,0.585576355457306,0.00523582706227899,0.00778105249628425,0.574712634086609,0.653313636779785,0.846639573574066,0.0122388787567616,0.707072019577026
57,0.00534188328310847,0.00703071383759379,0.543172597885132,0.651783883571625,0.858253300189972,0.00747362757101655,0.584986686706543,0.00534278200939298,0.00806084182113409,0.567112565040588,0.66286963224411,0.837453186511993,0.00661712000146508,0.716319143772125
58,0.0053179869428277,0.00698209926486015,0.541139423847199,0.652607023715973,0.860967636108398,0.00735292676836252,0.583640575408936,0.00510621396824718,0.00749024283140898,0.611855149269104,0.644156754016876,0.868029594421387,0.0133899627253413,0.699773073196411
59,0.00530253956094384,0.00695965113118291,0.545076131820679,0.652571558952332,0.865645229816437,0.00635010749101639,0.583876013755798,0.00519697042182088,0.00755767058581114,0.464238494634628,0.684172034263611,0.832855343818665,0.0296031329780817,0.691345572471619
60,0.00528992339968681,0.00693120807409287,0.546596586704254,0.651143193244934,0.867522060871124,0.00755943870171905,0.58417010307312,0.00505632534623146,0.00745532521978021,0.597867548465729,0.64827299118042,0.863979160785675,0.00838035065680742,0.703227877616882
61,0.00528375711292028,0.00691340398043394,0.542587161064148,0.654058694839478,0.86743289232254,0.00611996091902256,0.58003032207489,0.00515976129099727,0.00757119758054614,0.580883681774139,0.650796294212341,0.864788830280304,0.0212850607931614,0.699025809764862
62,0.00526651786640286,0.00687978696078062,0.542540311813355,0.652502775192261,0.869322896003723,0.00623195758089423,0.580645382404327,0.00529663870111108,0.00786316394805908,0.622285783290863,0.640880882740021,0.864628612995148,0.00882395077496767,0.707046568393707
63,0.00527695938944817,0.00690712779760361,0.548238694667816,0.649998605251312,0.869861483573914,0.00655856868252158,0.583122193813324,0.00511896656826139,0.00755746057257056,0.578035950660706,0.654727637767792,0.856905698776245,0.0136079397052526,0.703523874282837
64,0.00525773921981454,0.00686305481940508,0.545326828956604,0.651498854160309,0.871997952461243,0.00556611828505993,0.579270362854004,0.0051450957544148,0.00757485115900636,0.59214186668396,0.647867560386658,0.860356211662293,0.0152155216783285,0.700127363204956
65,0.00523730413988233,0.00683003617450595,0.54593563079834,0.650891184806824,0.874677717685699,0.00569148641079664,0.581392645835876,0.00506840460002422,0.00737845525145531,0.566123783588409,0.652088165283203,0.867634475231171,0.0205968245863914,0.693705439567566
66,0.00523654371500015,0.00681830616667867,0.542539238929749,0.653506875038147,0.874194145202637,0.00633006962016225,0.579204678535461,0.00518109230324626,0.0076643698848784,0.503839433193207,0.673608660697937,0.838778674602509,0.00952606927603483,0.702701210975647
67,0.00521771749481559,0.00679550925269723,0.541804194450378,0.654125094413757,0.875564515590668,0.00553070474416018,0.581026673316956,0.00513351894915104,0.00757453311234713,0.672050416469574,0.622510552406311,0.876052141189575,0.00525953201577067,0.704495549201965
68,0.00520699843764305,0.00676450086757541,0.537233650684357,0.656518757343292,0.874467134475708,0.00544946268200874,0.577122330665588,0.00514981523156166,0.00762997195124626,0.636727690696716,0.638331353664398,0.875821530818939,0.00340538914315402,0.706750154495239
69,0.00519675714895129,0.00675118947401643,0.53684937953949,0.657284259796143,0.876075923442841,0.00549921579658985,0.579123675823212,0.0050622820854187,0.00746237952262163,0.580330193042755,0.660819351673126,0.866727113723755,0.00669008959084749,0.702250599861145
70,0.00522118667140603,0.00679360330104828,0.542998254299164,0.653567254543304,0.87629622220993,0.00542355142533779,0.57763135433197,0.00506406463682652,0.00742875225841999,0.618682444095612,0.640718162059784,0.878960967063904,0.0119599485769868,0.700106859207153
71,0.00518140150234103,0.00672011356800795,0.534787774085999,0.656763911247253,0.876930058002472,0.00521042291074991,0.576936662197113,0.00500532146543264,0.0073299752548337,0.517536282539368,0.667130947113037,0.852674961090088,0.00606967974454165,0.697019398212433
72,0.00518752448260784,0.00672875484451652,0.537313878536224,0.656289637088776,0.878274440765381,0.00597325619310141,0.5779128074646,0.00504735391587019,0.00741094304248691,0.545088887214661,0.663057029247284,0.863101303577423,0.00821681041270494,0.699590563774109
73,0.00517556723207235,0.0067121647298336,0.533062815666199,0.659040808677673,0.876566410064697,0.00431419629603624,0.576288044452667,0.00501383515074849,0.00736037688329816,0.509712696075439,0.67401134967804,0.847567021846771,0.00584998819977045,0.699178397655487
